id,name,url,type,primary_use,address,neighbourhood,ownership,area,capacity,active_space,longitude,latitiude
148,Hadden Park Field House,http://vancouver.ca/parks-recreation-culture/hadden-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"1015 Maple St, Vancouver, BC, V6J 3R4",Kitsilano,Park Board/COV,,,Yes,-123.1500693,49.2770875
149,Harbour Dance Center,http://www.harbourdance.com/,Studio/Rehearsal ,Rehearsal Studio,"927 Granville St, Vancouver, BC, V6Z 1L3",Downtown,Privately Owned,9781,,Yes,-123.1221484,49.2799092
150,Harrison Galleries,www.harrisongalleries.com,Museum/Gallery,Museum/Gallery,"901 Homer St, Vancouver, BC, V6B 2W6",Downtown,Privately Owned,4500,,Yes,-123.1184779,49.2784569
151,Hastings Community Centre,https://vancouver.ca/parks-recreation-culture/hastings-community-centre.aspx,Community Space,Community Centre/Hall,"3096 E Hastings St, Vancouver, BC, V5K 2A3",Hastings-Sunrise,Park Board/COV,,,Yes,-123.039369,49.280678
152,Hastings Mill Store Museum,www.hastings-mill-museum.ca?,Museum/Gallery,Museum/Gallery,"1575 Alma St, Vancouver, BC, V6R 3P3",West Point Grey,City of Vancouver,2000,,Yes,-123.185988,49.272817
153,Havana Gallery,www.havanarestaurant.ca,Museum/Gallery,Museum/Gallery,"1212 Commercial Dr, Vancouver, BC, V5L 3X4",Grandview-Woodland,Privately Owned,,,Yes,-123.069421,49.273662
154,Havana Theatre,www.havanarestaurant.ca,Theatre/Performance,Theatre,"1212 Commercial Dr, Vancouver, BC, V5L 3X4",Grandview-Woodland,Privately Owned,,60,Yes,-123.0694828,49.2737114
155,Haywood Bandstand,,Community Space,Plaza/Park/Band Shell,"1755 Beach Av, Vancouver, BC, ",West End,Park Board/COV,,,Yes,-123.141944,49.285278
156,Heffel Gallery Ltd,www.heffel.com,Museum/Gallery,Museum/Gallery,"2247 Granville St, Vancouver, BC, V6H 3G1",Fairview,Privately Owned,7500,,Yes,-123.1389124,49.2654685
157,Heritage Hall,www.heritagehall.bc.ca,Community Space,Community Centre/Hall,"3102 Main St, Vancouver, BC, V5T 3G7",Mount Pleasant,City of Vancouver,3300,150,Yes,-123.100944,49.257332
158,Hillcrest Centre,http://vancouver.ca/parks-recreation-culture/hillcrest-centre.aspx,Community Space,Community Centre/Hall,"4575 Clancy Loranger Way, Vancouver, BC, V5Y 2M4",Riley Park,Park Board/COV,,,Yes,-123.1042916,49.24169227
159,Hill's Native Art,www.hillsnativeart.com,Museum/Gallery,Museum/Gallery,"165 Water St, Vancouver, BC, V6B 1A7",Downtown,Privately Owned,,,Yes,-123.1081528,49.2844721
160,Holy Rosary Cathedral,www.hrc.rcav.org,Community Space,Place of Worship,"646 Richards St, Vancouver, BC, V6B 3A3",Downtown,Other,16744,,Yes,-123.1152408,49.2818067
161,Holy Trinity Ukrainian Orthodox Cathedral,http://uocvancouver.com/,Community Space,Place of Worship,"154 E 10th Av, Vancouver, BC, V5T 1Z4",Mount Pleasant,Other,,250,Yes,-123.1021053,49.2617605
162,Hot Art Wet City,http://hotartwetcity.com/,Museum/Gallery,Museum/Gallery,"2206 Main St, Vancouver, BC, V5T 3C7",Mount Pleasant,Privately Owned,1036,50,Yes,-123.1007282,49.2653981
163,Ian Tan Gallery,www.iantangallery.com?,Museum/Gallery,Museum/Gallery,"2202 Granville St, Vancouver, BC, V6H 4H7",Fairview,Privately Owned,,,Yes,-123.1383868,49.2661646
164,IL Centro-Italian Cultural Centre,www.italianculturalcentre.ca?,Community Space,Community Centre/Hall,"3075 Slocan St, Vancouver, BC, V5M 3E4",Renfrew-Collingwood,Non-Profit,9400,,Yes,-123.049576,49.256761
165,"Improv Centre, The",www.vtsl.com,Theatre/Performance,Performance Space,"1502 Duranleau St, Vancouver, BC, V6H 3S4",Fairview,Government,2188,186,Yes,-123.136248,49.270764
166,Interurban Gallery,,Museum/Gallery,Museum/Gallery,"1 E Hastings St, Vancouver, BC, V6A 1M9",Downtown,Privately Owned,,,Yes,-123.1043161,49.2815282
167,Inuit Gallery of Vancouver,www.inuit.com,Museum/Gallery,Museum/Gallery,"206 Cambie St, Vancouver, BC, V6B 2M9",Downtown,Privately Owned,,,Yes,-123.1088083,49.2842455
168,"Ironworks Studios, The",www.theironworks.ca,Theatre/Performance,Performance Space,"235 Alexander St, Vancouver, BC, V6A 1C2",Strathcona,Privately Owned,4700,180,Yes,-123.099046,49.284153
169,Jack Poole Plaza,http://www.vancouverconventioncentre.com/jack-poole-plaza/,Community Space,Plaza/Park/Band Shell," , Vancouver, BC, ",Downtown,Government,46284,,Yes,-123.118259,49.289387
170,James Tan Gallery,http://www.jamestan.com/home.htm,Museum/Gallery,Museum/Gallery,"437 Columbia St, Vancouver, BC, V6A 2R9",Downtown,Privately Owned,,,Yes,-123.1023067,49.2810853
